HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,Year,FTR1,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Man United,Leeds,21-10-2000,3,0,H,2000,H,1.8,1.4,W,L,D,L,W,W,1.5,0.1,0.3,-2
Newcastle,Everton,21-10-2000,0,1,NH,2000,A,1.6,0.9,W,W,L,D,L,D,0.3,-0.4,0.2,-2
Tottenham,Derby,21-10-2000,3,1,H,2000,H,1.1,0.5,L,L,D,L,L,D,-0.1,-0.9,0.2,-6
West Ham,Arsenal,21-10-2000,1,2,NH,2000,A,0.8,1.8,D,D,W,W,W,D,-0.1,0.6,-0.5,7
Aston Villa,Sunderland,22-10-2000,0,0,NH,2000,D,1.3,1.2,D,L,W,W,D,D,0.3,-0.3,0,-1
Southampton,Man City,23-10-2000,0,2,NH,2000,A,1,1.1,D,L,W,W,L,D,-0.1,-0.2,0.2,-3
Arsenal,Man City,28-10-2000,5,0,H,2000,H,1.8,1.1,W,W,D,W,L,D,0.6,-0.2,0.6,-16
Aston Villa,Charlton,28-10-2000,2,1,H,2000,H,1.454545455,1.363636364,W,D,L,W,L,D,0.363636364,0,-0.181818182,-12
Chelsea,Tottenham,28-10-2000,3,0,H,2000,H,1.181818182,1.272727273,W,L,W,W,L,L,0.454545455,0.090909091,0.272727273,-5
Ipswich,Middlesbrough,28-10-2000,2,1,H,2000,H,1.363636364,0.909090909,W,D,W,L,L,W,0.272727273,-0.090909091,0.545454545,6
Leicester,Derby,28-10-2000,2,1,H,2000,H,1.454545455,0.454545455,L,L,D,L,L,L,0.090909091,-1,0.363636364,-8
Man United,Southampton,28-10-2000,5,0,H,2000,H,1.909090909,0.909090909,W,W,L,L,D,L,1.636363636,-0.272727273,0.272727273,-14
Sunderland,Coventry,28-10-2000,1,0,H,2000,H,1.181818182,1,D,W,D,L,W,D,-0.272727273,-0.909090909,0.454545455,-7
West Ham,Newcastle,28-10-2000,1,0,H,2000,H,0.727272727,1.454545455,L,D,D,L,W,W,-0.181818182,0.181818182,0,-2
